match_type,EPM,facility,city,state,feedstock_class,pathway_type,coproduct,wa_code,wa_ci,ca_pathway,ca_feedstock,ca_coproduct,ca_ci,wa_minus_ca_ci
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01040301,26.9,Fiber,Corn Fiber (012),,26.13,0.7699999999999996
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,sorghum,Ethanol from Sorghum,DDGS,ETHWA010A01040401,76.51,Starch,Grain Sorghum (010),DDGS,76.51,0.0
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,sorghum,Ethanol from Sorghum,WDGS,ETHWA010A01040501,68.18,Starch,Grain Sorghum (010),WDGS,68.04,0.14000000000000057
exact,3705,Siouxland Energy Cooperative,Sioux Center,IA,corn starch,Ethanol from Corn,WDGS,ETHWA009A01630100,61.0,Starch,Corn (009),DDGS,61.09,-0.09000000000000341
exact,3705,Siouxland Energy Cooperative,Sioux Center,IA,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01630200,21.5,Fiber,Corn Fiber (012),,22.23,-0.7300000000000004
exact,3706,Siouxland Ethnaol LLC,Jackson,NE,corn starch,Ethanol from Corn,WDGS,ETHWA009A01210100,62.37,Starch,Corn (009),DDGS + MDGS,66.5,-4.130000000000003
exact,3706,Siouxland Ethnaol LLC,Jackson,NE,corn starch,Ethanol from Corn,DDGS,ETHWA009A01260100,63.8,Starch,Corn (009),DDGS + MDGS,66.5,-2.700000000000003
exact,3706,Siouxland Ethnaol LLC,Jackson,NE,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01260200,24.18,Fiber,Corn Fiber (012),,25.0,-0.8200000000000003
exact,3709,Sterling Ethanol LLC,Sterling,CO,corn starch,Ethanol from Corn,WDGS,ETHWA009A01350100,66.0,Starch,Corn (009),WDGS,65.13,0.8700000000000045
exact,3714,The Andersons Marathon Holdings LLC,Denison,IA,corn starch,Ethanol from Corn,DDGS,ETHWA009A01390100,72.57,Starch,Corn (009),DDGS,71.88,0.6899999999999977
exact,3714,The Andersons Marathon Holdings LLC,Denison,IA,corn starch,Ethanol from Corn,,ETHWA009A01390200,67.43,Starch,Corn (009),DDGS,71.88,-4.449999999999989
exact,3717,Trenton Agri Products LLC,Trenton,NE,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01130301,26.68,Fiber,Corn Fiber (012),,26.52,0.16000000000000014
exact,3717,Trenton Agri Products LLC,Trenton,NE,corn starch,Ethanol from Corn,WDGS,ETHWA009A01130200,65.08,Starch,Corn (009),WDGS,65.05,0.030000000000001137
exact,3739,Yuma Ethanol LLC,Yuma,CO,corn starch,Ethanol from Corn,WDGS,ETHWA009A01190100,65.28,Starch,Corn (009),WDGS,64.45,0.8299999999999983
